NAMESPACE,POD,CONTAINER,WHOAMI,ID
clickhouse-operator,chi-ch-single-main-0-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-chi-keeper-sharded-main-0-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-ch-prod-main-1-1-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-ch-prod-main-0-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-chi-keeper-sharded-main-0-1-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-chi-keeper-sharded-main-1-1-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-chi-keeper-sharded-main-1-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chk-clickhouse-keeper-chk01-0-1-0,clickhouse-keeper,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
default,myapp-deployment-5fb667444b-6qhgw,nginx,"root","uid=0(root) gid=0(root) groups=0(root)"
default,myapp-deployment-5fb667444b-5h6vd,nginx,"root","uid=0(root) gid=0(root) groups=0(root)"
default,myapp-deployment-5fb667444b-2gbrv,nginx,"root","uid=0(root) gid=0(root) groups=0(root)"
default,db-6d9f87bb9b-dzph9,postgres,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
default,myapp-deployment-5fb667444b-schds,nginx,"root","uid=0(root) gid=0(root) groups=0(root)"
default,nginx-deployment-86dcfdf4c6-mngtb,nginx,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chk-clickhouse-keeper-chk01-0-0-0,clickhouse-keeper,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
clickhouse-operator,chk-clickhouse-keeper-chk01-0-2-0,clickhouse-keeper,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
default,nginx-deployment-86dcfdf4c6-flwm5,nginx,"root","uid=0(root) gid=0(root) groups=0(root)"
default,vote-5655bd759-ttlcb,vote,"root","uid=0(root) gid=0(root) groups=0(root)"
default,redis-77fccb7f9-652rd,redis,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
default,worker-7dd74bcbbb-r98nv,worker,"root","uid=0(root) gid=0(root) groups=0(root)"
default,result-54b5ccfc95-xnwn2,result,"root","uid=0(root) gid=0(root) groups=0(root)"
dify-test,dify-test-proxy-7c7c65c987-q7gg8,nginx,"root","uid=0(root) gid=0(root) groups=0(root)"
devops-team,auth-workflow-deploy-86c794cbbb-2hp26,auth-workflow,"root","uid=0(root) gid=0(root) groups=0(root)"
devops-team,auth-workflow-deploy-86c794cbbb-kp8xs,auth-workflow,"root","uid=0(root) gid=0(root) groups=0(root)"
devops-team,auth-workflow-deploy-86c794cbbb-4ts7q,auth-workflow,"root","uid=0(root) gid=0(root) groups=0(root)"
docusaurus,rap-docs-proxy-76c69779d-l7hc6,nginx,"root","uid=0(root) gid=0(root) groups=0(root)"
docusaurus,rap-docs-5f9f7c8f8d-tql7k,rap-docs,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
dify-test,weaviate-0,weaviate,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
dify-test,dify-test-sandbox-5cf4f78c67-k2mkm,sandbox,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,gpu-feature-discovery-8m2kx,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,gpu-feature-discovery-2rb4b,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,gpu-feature-discovery-d5qqg,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,iscsi-test-pod2,app,"root","uid=0(root) gid=0(root) groups=0(root),10(wheel)"
gpu-operator,gpu-feature-discovery-kfhnv,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,gpu-feature-discovery-hnq5l,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,iscsi-test-pod,app,"root","uid=0(root) gid=0(root) groups=0(root),10(wheel)"
gpu-operator,nvidia-container-toolkit-daemonset-ckb8t,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-container-toolkit-daemonset-v9vpx,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-sskvp,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-container-toolkit-daemonset-zfmkg,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-container-toolkit-daemonset-wntjp,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-container-toolkit-daemonset-x99r6,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-fdf7h,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-tq86t,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-b2wh2,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-9vljw,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-xt4km,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-qblsv,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-8vc7p,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-49scz,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-4xpsk,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-v7tnq,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-wcrvk,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-rx58p,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-45xq6,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-tkhhm,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-7nlw5,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-home-page-7b6cdd5bd7-p84wv,home-page,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
gpu-operator,nvidia-operator-validator-5m22n,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-7j6g7,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-9kc4z,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-bktn4,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-litellm-69f579cc85-xtxmm,litellm-container,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-unieaifrontend-76b8cbb6d9-f2dlc,unieaifrontend,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-vllm-taide-llama-3-1-taide-lx-8b-chat-846fcb9744-nwpjj,vllm,"root","uid=0(root) gid=0(root) groups=0(root)"
iservice-pricing,eval-pricing-6cd698f8d-6fvs9,eval-pricing,"root","uid=0(root) gid=0(root) groups=0(root)"
iservice,pgvector-deployment-5fffb6f659-nbf22,pgvector-db,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-48555,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-d9627,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-d9z2r,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-bgprm,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-g8hsv,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-dz5ht,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-vgb2z,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-hmnpw,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-m9f64,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-s5qrp,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-kzsl4,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-ftxj5,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-xjlqm,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-vmtpn,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-xzb8f,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-2fg68,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-7tmhd,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-pvg77,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-dpjh9,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-fh9ms,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-hvrpc,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-qnrkj,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-qtgvw,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
openldap,openldap-0,openldap,"root","uid=0(root) gid=0(root) groups=0(root)"
portal-app-gov113102,gov113102-aaa-home-page-5b48bd74d5-bpwbl,home-page,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
portal-app-gov113102,gov113102-aaa-openwebui-dfb7476f4-78fsz,openwebui,"root","uid=0(root) gid=0(root) groups=0(root)"
openldap,phpldapadmin-54cf8f6494-ff6nd,phpldapadmin,"root","uid=0(root) gid=0(root) groups=0(root)"
role-check,cronjob-role-check-29359163-mfzs4,cronjob-role-check,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
quota-operator,quota-operator-77b5f994c-cf4vs,operator,"root","uid=0(root) gid=0(root) groups=0(root)"
skywalking,skywalking-rover-4666n,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-rover-4wkmn,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-rover-dx8hx,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-rover-nqtpz,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-rover-cfxzn,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-skywalking-helm-oap-765c9f45b-5gd86,oap,"root","uid=0(root) gid=0(root) groups=0(root)"
skywalking,skywalking-rover-pmhxn,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-rover-st6t6,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-skywalking-helm-ui-f49c5b5bf-7fchh,ui,"root","uid=0(root) gid=0(root) groups=0(root)"
skywalking,skywalking-skywalking-helm-oap-765c9f45b-dhcsf,oap,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-login-slinky-85f757775d-m6wts,login,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-worker-gpu-node-0,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-worker-slinky-0,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-worker-tiny-1,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-worker-tiny-0,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-worker-tiny-4,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-worker-tiny-3,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-worker-tiny-2,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
yychen1218,openai-api-forward-796c797565-cr9lb,openai-api-proxy,"root","uid=0(root) gid=0(root) groups=0(root)"
yychen1218,litellm-6fd78d5d76-nkfrg,litellm,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
yychen1218,public-chat-566b9c6ff8-mfpsx,public-chat,"root","uid=0(root) gid=0(root) groups=0(root)"
